ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude
00501,HOLTSVILLE,Holtsville,NY,SUFFOLK,Suffolk,40.8154,-73.0456
00544,HOLTSVILLE,Holtsville,NY,SUFFOLK,Suffolk,40.8154,-73.0456
00601,ADJUNTAS,Adjuntas,PR,ADJUNTAS,Adjuntas,18.196747,-66.736735
00602,AGUADA,Aguada,PR,AGUADA,Aguada,18.352927,-67.177532
00603,AGUADILLA,Aguadilla,PR,AGUADILLA,Aguadilla,18.458585,-67.129867
00604,AGUADILLA,Aguadilla,PR,AGUADILLA,Aguadilla,18.488773,-67.147741
00605,AGUADILLA,Aguadilla,PR,AGUADILLA,Aguadilla,18.4289,-67.1538
00606,MARICAO,Maricao,PR,MARICAO,Maricao,18.166734,-66.939233
00610,ANASCO,Anasco,PR,ANASCO,Anasco,18.286779,-67.143877
00611,ANGELES,Angeles,PR,UTUADO,Utuado,18.2856,-66.9698
00612,ARECIBO,Arecibo,PR,ARECIBO,Arecibo,18.388009,-66.665279
00613,ARECIBO,Arecibo,PR,ARECIBO,Arecibo,18.4744,-66.7163
00614,ARECIBO,Arecibo,PR,ARECIBO,Arecibo,18.4744,-66.7163
00616,BAJADERO,Bajadero,PR,ARECIBO,Arecibo,18.405484,-66.671233
00617,BARCELONETA,Barceloneta,PR,BARCELONETA,Barceloneta,18.429792,-66.558109
00622,BOQUERON,Boqueron,PR,CABO ROJO,Cabo Rojo,17.992876,-67.153699
00623,CABO ROJO,Cabo Rojo,PR,CABO ROJO,Cabo Rojo,18.083781,-67.152624
00624,PENUELAS,Penuelas,PR,PENUELAS,Penuelas,18.072797,-66.724825
00627,CAMUY,Camuy,PR,CAMUY,Camuy,18.425195,-66.867756
00631,CASTANER,Castaner,PR,LARES,Lares,18.224554,-66.867756
00636,ROSARIO,Rosario,PR,SAN GERMAN,San German,18.1647,-67.0797
00637,SABANA GRANDE,Sabana Grande,PR,SABANA GRANDE,Sabana Grande,18.077592,-66.939232
00638,CIALES,Ciales,PR,CIALES,Ciales,18.299662,-66.498579
00641,UTUADO,Utuado,PR,UTUADO,Utuado,18.279721,-66.689096
00646,DORADO,Dorado,PR,DORADO,Dorado,18.459098,-66.272418
00647,ENSENADA,Ensenada,PR,GUANICA,Guanica,17.97252,-66.945189
00650,FLORIDA,Florida,PR,FLORIDA,Florida,18.363009,-66.558109
00652,GARROCHALES,Garrochales,PR,ARECIBO,Arecibo,18.451909,-66.599784
00653,GUANICA,Guanica,PR,GUANICA,Guanica,17.982516,-66.891581
00656,GUAYANILLA,Guayanilla,PR,GUAYANILLA,Guayanilla,18.037324,-66.796287
00659,HATILLO,Hatillo,PR,HATILLO,Hatillo,18.416025,-66.796287
00660,HORMIGUEROS,Hormigueros,PR,HORMIGUEROS,Hormigueros,18.138245,-67.111993
00662,ISABELA,Isabela,PR,ISABELA,Isabela,18.45613,-67.02263
00664,JAYUYA,Jayuya,PR,JAYUYA,Jayuya,18.210309,-66.581923
00667,LAJAS,Lajas,PR,LAJAS,Lajas,18.010034,-67.02263
00669,LARES,Lares,PR,LARES,Lares,18.291418,-66.867756
00670,LAS MARIAS,Las Marias,PR,LAS MARIAS,Las Marias,18.239633,-66.986887
00674,MANATI,Manati,PR,MANATI,Manati,18.433168,-66.498579
00676,MOCA,Moca,PR,MOCA,Moca,18.385559,-67.082204
00677,RINCON,Rincon,PR,RINCON,Rincon,18.331739,-67.231158
00678,QUEBRADILLAS,Quebradillas,PR,QUEBRADILLAS,Quebradillas,18.431293,-66.915406
00680,MAYAGUEZ,Mayaguez,PR,MAYAGUEZ,Mayaguez,18.210009,-67.106035
00681,MAYAGUEZ,Mayaguez,PR,MAYAGUEZ,Mayaguez,18.1211,-67.0824
00682,MAYAGUEZ,Mayaguez,PR,MAYAGUEZ,Mayaguez,18.220812,-67.147741
00683,SAN GERMAN,San German,PR,SAN GERMAN,San German,18.099194,-67.02263
00685,SAN SEBASTIAN,San Sebastian,PR,SAN SEBASTIAN,San Sebastian,18.316188,-66.974973
00690,SAN ANTONIO,San Antonio,PR,AGUADILLA,Aguadilla,18.50189,-67.097099
00692,VEGA ALTA,Vega Alta,PR,VEGA ALTA,Vega Alta,18.4018,-66.343828
00687,MOROVIS,Morovis,PR,MOROVIS,Morovis,18.322194,-66.415246
00688,SABANA HOYOS,Sabana Hoyos,PR,ARECIBO,Arecibo,18.349991,-66.629553
00717,PONCE,Ponce,PR,PONCE,Ponce,18.000417,-66.614669
00718,NAGUABO,Naguabo,PR,NAGUABO,Naguabo,18.25005,-65.784727
00719,NARANJITO,Naranjito,PR,NARANJITO,Naranjito,18.278197,-66.248617
00720,OROCOVIS,Orocovis,PR,OROCOVIS,Orocovis,18.20454,-66.450958
00721,PALMER,Palmer,PR,RIO GRANDE,Rio Grande,18.3018,-66.08
00723,PATILLAS,Patillas,PR,PATILLAS,Patillas,18.025158,-66.010668
00693,VEGA BAJA,Vega Baja,PR,VEGA BAJA,Vega Baja,18.420721,-66.403342
00694,VEGA BAJA,Vega Baja,PR,VEGA BAJA,Vega Baja,18.4465,-66.3884
00698,YAUCO,Yauco,PR,YAUCO,Yauco,18.090875,-66.867756
